"Timestamp","Device ID","Device Name","accelerationX","accelerationY","accelerationZ","motorTemperature","environmentTemperature","batteryVoltage","velX","velY","velZ","odr","scale","temperatureThresholdCritical","velXThresholdCritical","velYThresholdCritical","velZThresholdCritical","temperatureThresholdWarning","velXThresholdWarning","velYThresholdWarning","velZThresholdWarning","fftX","fftY","fftZ","lastTimestamp","gatewayId","gatewayName","bulkGeneric","process","applicationVersion","timestampGateway"
"14/05/2022 01:00:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0017263598274439573","0.0022442678455263376","0.003280083881691098","23.700000762939453","23.5","3.7647058963775635","0.029755093157291412","0.06942854821681976","0.029755093157291412","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 04:00:00 GMT+0000 (Coordinated Universal Time)","62152b34980ea258e6eeaff4","-","","","4.0.4",""
"14/05/2022 01:10:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0018989959498867393","0.0022442678455263376","0.003280083881691098","23.5","23.5","3.7647058963775635","0.0793469175696373","0.06942854821681976","0.03967345878481865","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 04:10:00 GMT+0000 (Coordinated Universal Time)","62152b34980ea258e6eeaff4","-","","","4.0.4",""
"14/05/2022 01:20:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0017263598274439573","0.0024169038515537977","0.0034527196548879147","23.5","23.5","3.7647058963775635","0.0793469175696373","0.0793469175696373","0.03967345878481865","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 04:20:00 GMT+0000 (Coordinated Universal Time)","6170521b4cd54f0007bc90d8","-","","","4.0.4",""
"14/05/2022 01:30:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0018989959498867393","0.0022442678455263376","0.0034527196548879147","23.399999618530273","23.399999618530273","3.7647058963775635","0.04959182068705559","0.06942854821681976","0.03967345878481865","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 04:30:00 GMT+0000 (Coordinated Universal Time)","62152b34980ea258e6eeaff4","-","","","4.0.4",""
"14/05/2022 01:40:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0018989959498867393","0.0024169038515537977","0.0034527196548879147","23.399999618530273","23.5","3.7647058963775635","0.059510186314582825","0.0793469175696373","0.03967345878481865","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 04:40:00 GMT+0000 (Coordinated Universal Time)","6170521b4cd54f0007bc90d8","-","","","4.0.4",""
"14/05/2022 01:50:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0017263598274439573","0.0022442678455263376","0.0034527196548879147","23.399999618530273","23.5","3.7647058963775635","0.029755093157291412","0.059510186314582825","0.029755093157291412","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 04:50:00 GMT+0000 (Coordinated Universal Time)","6170521b4cd54f0007bc90d8","-","","","4.0.4",""
"14/05/2022 02:00:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0017263598274439573","0.0022442678455263376","0.003280083881691098","23.5","23.399999618530273","3.7647058963775635","0.04959182068705559","0.0793469175696373","0.03967345878481865","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 05:00:00 GMT+0000 (Coordinated Universal Time)","62152b34980ea258e6eeaff4","-","","","4.0.4",""
"14/05/2022 02:10:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0018989959498867393","0.0022442678455263376","0.0034527196548879147","23.399999618530273","23.399999618530273","3.7647058963775635","0.0793469175696373","0.0793469175696373","0.03967345878481865","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 05:10:00 GMT+0000 (Coordinated Universal Time)","6170521b4cd54f0007bc90d8","-","","","4.0.4",""
"14/05/2022 02:20:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0018989959498867393","0.0022442678455263376","0.0034527196548879147","23.399999618530273","23.5","3.7647058963775635","0.06942854821681976","0.04959182068705559","0.03967345878481865","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 05:20:00 GMT+0000 (Coordinated Universal Time)","62152b34980ea258e6eeaff4","-","","","4.0.4",""
"14/05/2022 02:30:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0017263598274439573","0.0022442678455263376","0.0034527196548879147","23.399999618530273","23.399999618530273","3.7647058963775635","0.029755093157291412","0.04959182068705559","0.04959182068705559","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 05:30:00 GMT+0000 (Coordinated Universal Time)","62152b34980ea258e6eeaff4","-","","","4.0.4",""
"14/05/2022 02:40:00.000","61f2731c55691798c2af8d68","TestQRGen","0.0018989959498867393","0.0022442678455263376","0.0034527196548879147","23.5","23.399999618530273","3.7647058963775635","0.06942854821681976","0.06942854821681976","0.04959182068705559","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 05:40:00 GMT+0000 (Coordinated Universal Time)","6170521b4cd54f0007bc90d8","-","","","4.0.4",""
"14/05/2022 02:50:00.000","61f2731c55691798c2af8d68","TestQRGen","0.002071632072329521","0.0024169038515537977","0.0034527196548879147","23.399999618530273","23.399999618530273","3.7647058963775635","0.06942854821681976","0.08926527947187424","0.03967345878481865","","","40","2","2","2","36","1","1","1","","","","Sat May 14 2022 05:50:00 GMT+0000 (Coordinated Universal Time)","62152b34980ea258e6eeaff4","-","","","4.0.4",""
